INFO
2025-03-19-18:45-FC Midtjylland-Nottingham Forest
2025-03-19-18:45-Freiburg-Genk
2025-03-19-18:45-Lyon-Celta
2025-03-19-21:00-Aston Villa-Lille
2025-03-19-21:00-Aston Villa-Lille
2025-03-19-21:00-Betis-Panathinaikos
2025-03-19-21:00-Porto-Stuttgart
2025-03-19-21:00-Roma-Bologna
2025-03-19-18:45-AEK Athens-NK Celje
2025-03-19-18:45-AEK Larnaca-Crystal Palace
2025-03-19-18:45-Mainz-SK Sigma Olomouc
2025-03-19-18:45-Rakow Czestochowa-Fiorentina
2025-03-19-21:00-Rayo Vallecano-Samsunspor
2025-03-19-21:00-Shakhtar D-KKS Lech Poznan
2025-03-19-21:00-Sparta Prague-Alkmaar
2025-03-19-21:00-Strasbourg-HNK Rijeka
2025-03-20-00:00-Mount Pleasant FC-Los Angeles Galaxy
2025-03-19-14:00-Kayserispor-Fatih Karagumruk Istanbul
2025-03-19-18:00-Besiktas Istanbul-Kasimpasa Istanbul
2025-03-19-18:00-Konyaspor-Genclerbirligi SK
2025-03-19-23:00-Gremio FB Porto Alegrense RS-EC Vitoria BA
2025-03-19-12:00-FC Oleksandriya-FC Dynamo Kyiv
2025-03-19-17:00-FC Metalist 1925 Kharkiv-SC Poltava
2025-03-19-16:00-Niger Tornadoes FC-Rivers United FC
2025-03-19-23:30-EC Juventude RS-Aguia de Maraba PA
2025-03-19-23:30-Maringa FC-Goias EC GO
2025-03-19-22:10-Alianza FC Valledupar-Jaguares de Cordoba
2025-03-19-16:30-PFK Krylia Sovetov Samara-Lokomotiv Moscow
2025-03-19-19:30-FC Dinamo Bucuresti 1948-CS Universitatea Craiova
2025-03-19-15:00-Sporting Club Delhi-Jamshedpur FC
2025-03-19-17:00-FK Spartak 1918 Varna-Ludogorets
2025-03-19-20:00-CR Flamengo RJ-Olimpia Asuncion
2025-03-19-11:30-Chanmari FC-Shillong Lajong FC
2025-03-19-14:00-Sreenidi Deccan FC-Namdhari FC
2025-03-19-21:00-New York City FC II-Toronto FC II
2025-03-19-19:00-Quevilly-Rouen Metropole-Dijon
2025-03-19-23:00-Carolina Core FC-Virginia Dream FC
2025-03-19-23:30-Charlotte Independence-Ristozi FC
2025-03-19-23:30-Flint City Bucks-Forward Madison FC
2025-03-19-17:00-Tallinna FC Flora U21-Nomme Kalju FC
2025-03-19-17:00-Viimsi JK-JK Tallinna Kalev
2025-03-19-20:00-SD Aucas-CD Tecnico Universitario
2025-03-19-22:30-Orense SC-Mushuc Runa SC
2025-03-19-20:45-Alfreton Town FC-Hereford FC
