INFO
2025-03-19-18:45-FC Midtjylland-Nottingham Forest
2025-03-19-18:45-Freiburg-Genk
2025-03-19-18:45-Lyon-Celta
2025-03-19-21:00-Aston Villa-Lille
2025-03-19-21:00-Betis-Panathinaikos
2025-03-19-21:00-Porto-Stuttgart
2025-03-19-21:00-Roma-Bologna
2025-03-19-18:45-AEK Athens-NK Celje
2025-03-19-18:45-AEK Larnaca-Crystal Palace
2025-03-19-18:45-Mainz-SK Sigma Olomouc
2025-03-19-18:45-Rakow Czestochowa-Fiorentina
2025-03-19-21:00-Rayo Vallecano-Samsunspor
2025-03-19-21:00-Shakhtar D-KKS Lech Poznan
2025-03-19-21:00-Strasbourg-HNK Rijeka
2025-03-20-00:00-Mount Pleasant FC-Los Angeles Galaxy
2025-03-19-14:00-Kayserispor-Fatih Karagumruk Istanbul
2025-03-19-18:00-Besiktas Istanbul-Kasimpasa Istanbul
2025-03-19-18:00-Konyaspor-Genclerbirligi SK
Freiburg-Genk
Aston Villa-Lille
Betis-Panathinaikos
Roma-Bologna
AEK Athens-NK Celje
Mainz-SK Sigma Olomouc
Rayo Vallecano-Samsunspor
Strasbourg-HNK Rijeka
Mount Pleasant FC-Los Angeles Galaxy
Besiktas Istanbul-Kasimpasa Istanbul
FC Metalist 1925 Kharkiv-SC Poltava
EC Juventude RS-Aguia de Maraba PA
Volta Redonda FC RJ-Barra FC SC
CD Tolima-Fortaleza FC
Sporting Club Delhi-Jamshedpur FC
FK Spartak 1918 Varna-Ludogorets
Sreenidi Deccan FC-Namdhari FC
Quevilly-Rouen Metropole-Dijon
Carolina Core FC-Virginia Dream FC
Charlotte Independence-Ristozi FC
Lexington SC-Flower City Union
Westchester SC-NY Renegades FC
Viimsi JK-JK Tallinna Kalev
SD Aucas-CD Tecnico Universitario
Bryne FK-SK Brann
AD Cariari Pococi-Aserri FC
Red Arrows-Nkwazi
Sabah Masazir-Sumgayit FK
