DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-03-19,02:30,Ventura County Fusion,Spokane Velocity FC,20,19,61,29,71,62,38,BCL
2026-03-19,02:30,Orange County SC,Laguna United FC,85,10,5,27,73,55,45,BCL
2026-03-19,22:00,Carolina Core FC,Virginia Dream,75,14,11,25,75,58,42,BCL
2026-03-19,22:30,Charlotte Independence,Ristozi FC,72,14,14,29,71,58,42,BCL
2026-03-19,22:30,Flint City Bucks,Forward Madison FC,32,19,49,29,71,62,38,BCL
2026-03-19,23:00,Lexington SC,Flower City Union,87,8,5,29,71,55,45,BCL
2026-03-19,23:30,Westchester SC,NY Renegades,59,19,22,29,71,59,41,BCL
2026-03-19,11:00,Andijan,Mashal,68,23,9,59,41,36,64,BCL
2026-03-19,13:15,Buxoro,Dinamo Samarqand,28,32,40,67,33,41,59,BCL
2026-03-19,04:00,South Island United,Bula,59,21,20,43,57,53,47,BCL
