DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
19/03/2026,14:00,Kayserispor,Fatih Karagümrük,30,41,29,56,44,51,49,Forebet
19/03/2026,14:00,Sreenidi Deccan,Namdhari,43,36,21,47,53,54,46,Forebet
19/03/2026,14:00,Napsa Stars,Man Utd Zambia,29,34,37,82,18,25,75,Forebet
19/03/2026,14:00,Green Buffaloes,Konkola Blades,29,47,24,80,20,51,49,Forebet
19/03/2026,14:00,Red Arrows FC,Nkwazi FC,64,29,8,81,19,30,70,Forebet
19/03/2026,14:00,Pamba Jiji,Simba,12,42,46,45,55,58,42,Forebet
19/03/2026,14:00,Mashujaa,Azam,11,50,40,65,35,33,67,Forebet
19/03/2026,14:00,Ngozi City,Green Farmers,69,21,10,1,99,49,51,Forebet
19/03/2026,14:00,Vital'O FC,Musongati,25,42,33,29,71,70,30,Forebet
19/03/2026,14:00,Inter Star,Rukinzo FC,20,39,42,50,50,49,51,Forebet
19/03/2026,14:00,Manica Diamonds FC,Scotland Mabvuku,11,60,29,78,22,28,72,Forebet
19/03/2026,14:00,Bulawayo Chiefs,Dynamos FC,20,46,33,63,37,51,49,Forebet
19/03/2026,14:00,Herentals FC,AGAMA,40,35,25,82,18,17,83,Forebet
19/03/2026,14:15,Buxoro FK,Dinamo Samarkand,33,37,31,56,44,51,49,Forebet
19/03/2026,15:00,Sporting Delhi,Jamshedpur,24,13,63,52,48,41,59,Forebet
19/03/2026,15:30,Victoria Utd Limbé,Panthère du Ndé,34,42,24,37,63,63,37,Forebet
19/03/2026,15:30,Aigle Royal de Moungo,Fauve Azur Elite,52,26,22,55,45,28,72,Forebet
19/03/2026,15:45,Zarautz,Pasaia KE,43,32,25,45,55,51,49,Forebet
19/03/2026,16:00,Niger Tornadoes,Rivers United,31,30,39,72,28,32,68,Forebet
19/03/2026,16:15,Sabah,Sumqayit FK,56,28,16,37,63,75,25,Forebet
19/03/2026,16:30,Krylia Sovetov,Lokomotiv Moscow,27,24,49,49,51,51,49,Forebet
19/03/2026,17:00,Spartak Varna,Ludogorets,13,24,64,47,53,57,43,Forebet
19/03/2026,17:00,Metalist 1925 Kharkiv,SC Poltava,66,21,13,50,50,49,51,Forebet
19/03/2026,17:00,Flora Tallinn II,Nomme Kalju II,43,35,22,28,72,75,25,Forebet
19/03/2026,17:00,Viimsi JK,JK Tallinna Kalev,38,46,16,57,43,63,37,Forebet
19/03/2026,17:00,Silva SD,Céltiga FC,33,25,42,56,44,42,58,Forebet
19/03/2026,17:00,Atlético Arteixo,Montaneros CF,37,43,20,15,85,72,28,Forebet
19/03/2026,17:00,Celta de Vigo III,Juventud Cambados,54,37,9,60,40,37,63,Forebet
19/03/2026,17:00,CF Alondras,CD Barco,36,29,35,18,82,63,37,Forebet
19/03/2026,17:00,Polvorín FC,CD Boiro,36,44,20,54,46,51,49,Forebet
19/03/2026,17:00,Derio,SCD Durango,38,32,29,47,53,59,41,Forebet
19/03/2026,17:00,CD Huarte,CD Ardoi,37,38,25,62,38,55,45,Forebet
19/03/2026,17:00,Turbine Potsdam W,SC Sand W,27,16,57,34,66,77,23,Forebet
